X,Y,Z
-2.64,4.91,1.37
-2.65,4.93,1.4
-2.65,4.97,1.49
-2.66,5,1.5
-2.67,5.04,1.49
-2.68,5.08,1.52
-2.69,5.1,1.41
-2.7,5.17,1.35
-2.73,5.26,1.32
-2.72,5.3,1.29
-2.72,5.33,1.28
-2.71,5.36,1.28
-2.73,5.43,1.31
-2.71,5.46,1.35
-2.7,5.51,1.34
-2.7,5.56,1.34
-2.68,5.62,1.35
-2.69,5.72,1.32
-2.68,5.76,1.34
-2.68,5.8,1.32
-2.66,5.85,1.29
-2.66,5.88,1.32
-2.67,5.9,1.32
-2.67,5.92,1.36
-2.69,5.96,1.34
-2.69,5.98,1.35
-2.7,6,1.33
-2.7,6.01,1.33
-2.64,6.05,1.4
-2.65,6.03,1.36
-2.65,5.98,1.44
-2.67,5.94,1.42
-2.66,5.93,1.46
-2.66,5.92,1.5
-2.67,5.93,1.44
-2.67,5.95,1.37
-2.67,5.97,1.34
-2.66,5.98,1.29
-2.66,5.99,1.26
-2.66,5.99,1.35
-2.73,6.07,1.32
-2.75,6.1,1.42
-2.79,6.18,1.37
-2.74,6.25,1.4
-2.71,6.23,1.35
-2.68,6.3,1.37
-2.66,6.4,1.4
-2.64,6.43,1.39
-2.62,6.39,1.41
-2.55,6.39,1.37
-2.5,6.37,1.36
-2.45,6.38,1.36
-2.49,6.3,1.31
-2.5,6.28,1.3
-2.53,6.32,1.39
-2.51,6.23,1.37
-2.47,6.24,1.45
-2.41,6.25,1.38
-2.4,6.18,1.38
-2.37,6.15,1.35
-2.35,6.12,1.3
-2.37,6.14,1.35
-2.32,6.1,1.43
-2.27,6.1,1.44
-2.25,6.06,1.4
-2.16,6.09,1.35
-2.14,6.04,1.39
-2.12,6.03,1.4
-2.1,6.04,1.4
-2.06,6.02,1.42
-2.05,6.02,1.4
-2.02,6.04,1.43
-1.94,5.99,1.42
-1.9,5.98,1.41
-1.9,6.03,1.5
-1.85,6.03,1.42
-1.82,6.01,1.46
-1.78,6,1.55
-1.75,5.97,1.53
-1.68,5.97,1.55
-1.66,5.96,1.55
-1.66,5.97,1.48
-1.62,5.95,1.44
-1.55,5.94,1.41
-1.51,5.9,1.4
-1.47,5.9,1.43
-1.44,5.91,1.42
-1.41,5.89,1.49
-1.37,5.86,1.47
-1.34,5.86,1.51
-1.3,5.83,1.51
-1.28,5.84,1.43
-1.21,5.9,1.38
-1.22,5.86,1.43
-1.21,5.85,1.48
-1.13,5.82,1.41
-1.09,5.81,1.37
-1.05,5.8,1.32
-1.04,5.81,1.32
-1.09,5.77,1.28
-1.05,5.73,1.27
-1.09,5.67,1.34
-1.08,5.63,1.33
-1.08,5.56,1.29
-1.11,5.5,1.26
-1.1,5.49,1.25
-1.11,5.46,1.3
-1.06,5.48,1.23
-1.07,5.43,1.35
-1.06,5.39,1.41
-1.02,5.34,1.45
-0.97,5.29,1.4
-0.93,5.25,1.34
-0.91,5.22,1.34
-0.89,5.19,1.32
-0.85,5.17,1.33
-0.82,5.14,1.31
-0.8,5.08,1.35
-0.73,5.11,1.27
-0.75,5.09,1.3
-0.8,5.07,1.27
-0.81,4.98,1.28
-0.8,4.9,1.25
-0.81,4.86,1.24
-0.84,4.81,1.2
-0.87,4.76,1.22
-0.91,4.71,1.31
-0.94,4.66,1.34
-0.93,4.64,1.32
-0.92,4.6,1.37
-0.92,4.53,1.36
-0.9,4.46,1.36
-0.89,4.42,1.27
-0.9,4.37,1.22
-0.93,4.3,1.23
-0.92,4.27,1.18
-0.92,4.24,1.17
-0.93,4.21,1.17
-0.94,4.17,1.17
-0.95,4.13,1.19
-0.94,4.09,1.2
-0.94,4.05,1.19
-0.97,4,1.17
-0.97,3.92,1.17
-0.98,3.87,1.32
-0.98,3.83,1.36
-0.99,3.79,1.32
-0.98,3.76,1.26
-0.98,3.72,1.33
-0.98,3.68,1.26
-0.97,3.67,1.28
-0.95,3.67,1.3
-0.94,3.68,1.33
-0.88,3.72,1.25
-0.83,3.76,1.22
-0.81,3.79,1.15
-0.83,3.78,1.13
-0.89,3.78,1.18
-0.93,3.79,1.17
-1.01,3.76,1.19
-0.97,3.79,1.14
-1.01,3.74,1
-1.04,3.77,1.04
-1.1,3.84,1.06
-1.12,3.81,1.11
-1.16,3.82,1.15
-1.2,3.8,1.16
-1.13,3.82,1.1
-1.19,3.8,1.13
-1.23,3.81,1.21
-1.26,3.82,1.24
-1.31,3.81,1.23
-1.32,3.78,1.19
-1.31,3.74,1.2
-1.36,3.75,1.16
-1.37,3.73,1.21
-1.39,3.73,1.2
-1.39,3.72,1.19
-1.41,3.72,1.24
-1.38,3.71,1.2
-1.39,3.72,1.33
-1.41,3.75,1.38
-1.41,3.78,1.39
-1.42,3.81,1.42
-1.42,3.83,1.36
-1.4,3.83,1.29
-1.42,3.88,1.35
-1.43,3.91,1.29
-1.45,3.93,1.33
-1.43,3.93,1.38
-1.42,3.93,1.38
-1.4,3.92,1.43
-1.36,3.9,1.36
-1.36,3.88,1.37
-1.34,3.86,1.45
-1.32,3.85,1.37
-1.32,3.84,1.37
-1.33,3.83,1.46
-1.32,3.82,1.49
-1.32,3.81,1.39
-1.33,3.82,1.46
-1.34,3.82,1.37
-1.34,3.84,1.39
-1.36,3.82,1.46
-1.37,3.81,1.37
-1.39,3.8,1.45
-1.39,3.79,1.35
-1.43,3.81,1.29
-1.43,3.82,1.28
-1.47,3.82,1.33
-1.46,3.82,1.33
-1.52,3.81,1.36
-1.58,3.8,1.31
-1.61,3.79,1.33
-1.65,3.77,1.29
-1.7,3.76,1.34
-1.74,3.73,1.3
-1.78,3.71,1.24
-1.81,3.7,1.33
-1.83,3.68,1.28
-1.86,3.67,1.37
-1.98,3.73,1.3
-2.05,3.74,1.32
-2.1,3.75,1.26
-2.14,3.75,1.24
-2.15,3.74,1.26
-2.19,3.75,1.28
-2.21,3.72,1.26
-2.25,3.7,1.27
-2.29,3.7,1.4
-2.32,3.71,1.45
-2.36,3.72,1.36
-2.4,3.72,1.3
-2.44,3.73,1.35
-2.47,3.72,1.44
-2.52,3.72,1.39
-2.55,3.74,1.39
-2.59,3.75,1.36
-2.61,3.76,1.34
-2.61,3.75,1.4
-2.62,3.76,1.46
-2.66,3.75,1.42
-2.71,3.77,1.39
-2.75,3.77,1.31
-2.77,3.74,1.26
-2.75,3.76,1.31
-2.82,3.8,1.28
-2.81,3.8,1.29
-2.81,3.81,1.33
-2.79,3.83,1.32
-2.81,3.82,1.34
-2.78,3.82,1.41
-2.81,3.82,1.4
-2.81,3.82,1.36
-2.82,3.82,1.3
-2.84,3.83,1.33
-2.83,3.84,1.27
-2.83,3.84,1.3
-2.8,3.87,1.37
-2.84,3.92,1.31
