Anchor1,Anchor2,Anchor3,Anchor4
2.25,3.24,4.81,4.01
2.25,3.23,4.9,3.96
2.21,3.18,4.71,3.99
2.33,3.19,4.72,3.93
2.3,3.18,4.84,3.94
2.29,3.13,4.82,3.93
2.34,3.18,4.83,3.91
2.3,3.14,4.86,3.84
2.37,3.14,4.86,3.81
2.33,3.08,4.87,3.78
2.36,3.09,4.87,3.76
2.4,3.04,4.8,3.79
2.43,3.1,4.82,3.75
2.41,3.1,4.73,3.78
2.45,3.05,4.8,3.72
2.47,3.11,4.69,3.7
2.54,3.05,4.63,3.78
2.52,2.94,4.58,3.75
2.62,2.9,4.58,3.78
2.62,2.97,4.7,3.74
2.72,2.85,4.67,3.63
2.75,2.86,4.72,3.61
2.79,2.77,4.89,3.56
2.81,2.71,4.97,3.54
2.91,2.74,5.02,3.57
2.93,2.7,5.06,3.49
3.01,2.61,5.09,3.4
3.03,2.55,5.1,3.42
3.01,2.59,5.12,3.46
3.11,2.53,5.11,3.39
3.13,2.52,5.28,3.33
3.1,2.39,5.34,3.21
3.1,2.3,5.23,3.12
3.19,2.37,5.16,3.08
3.15,2.36,5.17,3.13
3.36,2.24,5.12,3.08
3.3,2.27,5.26,3.09
3.34,2.25,5.31,3.1
3.35,2.16,5.26,3.06
3.42,2.14,5.31,3.1
4.6,2.09,5.34,3.02
3.34,2.12,5.42,3.08
3.46,1.99,5.38,3.05
3.49,2.08,5.56,3.06
3.45,2.04,5.41,2.94
3.43,2.03,5.46,3
3.52,2.09,5.67,3.05
3.58,2,5.75,3.02
3.62,1.93,5.76,2.97
3.65,1.92,6.07,2.99
3.69,1.88,6.09,3
3.74,1.82,6.28,2.95
3.78,1.77,5.58,2.88
3.87,1.71,5.87,2.86
3.83,1.69,5.94,2.8
3.88,1.69,6.02,2.82
3.91,1.64,6.06,2.8
3.89,1.63,6.16,2.8
4.04,1.6,6.09,2.76
3.98,1.56,6.24,2.69
4.1,1.51,6.4,2.69
4.15,1.46,6.47,2.68
4.26,1.46,6.19,2.6
4.32,1.39,6.35,2.6
4.3,1.41,6.26,2.6
4.35,1.41,6.31,2.64
4.39,1.41,6.25,2.61
4.4,1.36,6.34,2.59
4.38,1.38,6.36,2.61
4.38,1.34,6.36,2.58
4.36,1.35,6.41,2.61
4.35,1.37,6.39,2.57
4.36,1.35,6.39,2.6
4.47,1.33,6.44,2.61
4.53,1.32,6.34,2.53
4.3,1.42,6.3,2.56
4.32,1.35,6.21,2.57
4.37,1.28,6.13,2.58
4.3,1.36,6.46,2.55
4.3,1.33,6.46,2.56
4.3,1.28,6.84,2.52
4.36,1.31,7.18,2.51
4.36,1.27,7.23,2.51
4.38,1.33,6.9,2.48
4.37,1.3,6.54,2.52
4.4,1.29,6.5,2.53
4.36,1.26,6.47,2.51
4.45,1.22,6.52,2.56
4.49,1.27,6.58,2.47
4.88,1.26,6.76,2.43
5.18,1.28,6.45,2.42
5.19,1.26,6.8,2.44
5.23,1.26,6.99,2.43
4.97,1.3,7.05,2.42
4.68,1.32,7.23,2.43
4.61,1.3,6.32,2.39
4.63,1.33,6.38,2.37
4.63,1.27,6.34,2.35
4.61,1.26,6.2,2.33
4.59,1.34,6.47,2.35
4.5,1.36,6.47,2.22
4.75,1.44,6.19,2.3
4.67,1.45,6.37,2.24
4.65,1.54,6.28,2.19
4.62,1.51,6.16,2.19
4.73,1.61,6.18,2.11
5.18,1.62,6.2,2.16
4.47,1.6,6.26,2.08
4.54,1.72,6.33,2.08
4.57,1.68,6.16,2.09
4.49,1.73,6.05,2.04
4.6,1.76,6,2.02
4.53,1.84,6.07,2.05
4.54,1.84,6.07,1.89
4.6,1.92,6.13,1.87
4.63,1.99,6.39,1.87
4.59,1.85,6.46,1.84
4.64,1.85,6.37,1.73
4.66,2.24,6.39,1.73
4.69,2.18,6.22,1.75
4.75,2.13,6.19,1.66
4.71,2.19,5.98,1.62
4.8,2.18,6.02,1.65
4.75,2.22,5.97,1.6
4.74,2.31,5.94,1.67
4.74,2.3,5.86,1.55
4.75,2.35,5.94,1.57
4.72,2.46,5.96,1.56
4.78,2.48,5.9,1.56
4.82,2.54,5.77,1.45
4.74,2.59,5.75,1.51
4.8,2.51,5.77,1.43
4.83,2.5,5.8,1.4
