Input1,Input2,Input3,Input4
3.96,3.64,4.82,3.85
3.94,4.14,4.79,3.86
3.91,3.47,4.86,3.94
3.77,3.86,4.73,3.93
3.81,3.69,4.64,3.99
3.77,4.35,4.72,3.97
3.71,4.09,4.63,3.96
3.68,4.23,4.55,4.12
3.09,4.17,4.18,4.48
3.42,5.2,2.1,5.24
3.25,5.31,1.96,5.2
3.84,4.92,3.12,3.92
3.88,4.92,3.03,3.87
3.92,4.88,2.99,3.9
3.9,4.76,2.97,3.79
3.94,4.75,3,3.77
4.01,4.77,3.07,3.7
4.06,4.68,3.07,3.7
3.98,4.57,3.08,3.57
4.36,2.16,5.19,3.51
4.32,2.22,5.1,3.52
4.24,2.53,4.87,3.66
4.24,2.59,4.84,3.69
4.18,2.64,4.87,3.71
4.11,2.61,4.77,3.77
4.08,2.6,4.88,3.78
4,2.61,4.82,3.83
4.04,2.63,5,3.85
2.56,4.89,2.48,5.05
2.57,4.98,2.54,4.99
2.58,4.92,2.47,4.85
2.71,5.02,2.33,4.93
2.82,5.03,2.22,4.92
2.93,5.11,2.3,4.94
2.98,5.13,2.33,4.94
2.97,5.2,2.21,4.91
3.01,5.18,2.16,5.01
3.18,5.23,2.17,5.11
2.95,5.21,2.15,5.07
2.95,5.19,2.19,5.18
3.37,5.34,2.12,4.72
3.17,5.33,2.07,4.94
2.91,5.23,1.97,4.76
3.19,5.31,1.93,4.85
5.34,4.38,4.46,2.05
5.4,4,4.58,2.03
4.43,2.12,5.15,3.73
4.22,5.24,2.1,4.24
3.82,5.28,2.18,4.14
3.87,5.26,2.22,4.07
3.96,5.19,2.25,4.09
3.95,5.15,2.3,4.03
3.96,5.16,2.36,4.08
4,5.11,2.44,3.97
4.04,5.13,2.44,3.96
4.08,5.01,2.53,3.94
1.83,5.1,2.68,5.54
1.86,5.19,2.58,5.33
1.98,5.21,2.6,5.51
1.96,5.11,2.47,5.52
1.98,5.06,2.41,5.48
4.57,4,3.88,2.81
5.23,4.34,4.36,2.22
5.36,3.85,4.44,2.14
5.33,4.18,4.53,2.02
2.02,4.78,3.02,5.34
2.99,5.19,2.14,4.96
2.88,5.33,2.14,5.11
4.48,3.96,3.88,3.08
4.47,3.96,3.67,2.96
4.56,4.15,3.72,2.88
4.59,4.12,3.75,2.87
4.63,4.11,3.82,2.81
4.69,4.06,3.81,2.84
4.66,4.09,3.84,2.82
4.65,3.93,3.93,2.73
4.71,4.04,3.94,2.74
5.03,3.58,4.34,2.32
5.05,3.63,4.33,2.24
5.24,3.45,4.3,2.24
4.39,2.13,5.31,4.36
2.26,4.45,4.14,5.49
2.28,4.53,3.78,5.49
2,4.67,3.87,5.36
1.96,4.7,3.73,5.47
1.68,4.97,3.64,5.71
2.29,4.2,4.26,5.26
2.3,4.17,4.21,5.39
2.32,4.26,4.07,5.34
2.28,4.38,4.09,5.28
2.25,4.5,4.01,5.28
2.24,4.54,3.97,5.38
2.08,4.55,3.9,5.33
2.16,4.56,3.82,5.45
2.12,4.62,3.79,5.66
3.83,4.75,3.08,3.85
4.6,3.98,3.66,3.14
