Input1,Input2,Input3,Input4
3.72,4.97,2.58,4.13
3.76,4.83,2.57,4.12
3.74,4.97,2.68,4.03
5.03,2.71,4.85,2.71
4.97,2.96,4.93,2.74
5.12,2.97,4.89,2.77
5.17,2.88,4.82,2.81
5.3,2.66,5.03,2.8
5.28,3.04,5.07,2.85
4.68,2.56,5.16,2.85
2.37,4.99,2.48,5.32
4.66,3.69,3.9,2.78
5.14,4.23,4.39,2.13
5.16,4.08,4.46,2.17
5.23,4.1,4.42,2.13
5.3,4.38,4.45,2.11
5.41,4.47,4.5,2.06
5.54,4.45,4.72,2.02
5.49,3.73,4.87,1.93
5.72,2.74,5.1,2.13
4.33,2.22,5.08,3.86
