x,y,z
1.17,3.93,1.28
1.14,3.89,1.29
1.12,3.86,1.29
1.1,3.81,1.39
1.07,3.79,1.36
1.01,3.79,1.34
1.2,3.63,1.32
1.15,3.63,1.31
1.13,3.58,1.28
1.11,3.55,1.29
1.13,3.47,1.27
1.08,3.43,1.35
1.05,3.35,1.46
1.13,3.23,1.37
1.06,3.2,1.35
1.02,3.16,1.33
1.02,3.12,1.3
0.91,3.14,1.32
0.93,3.1,1.29
0.89,3.08,1.33
0.92,2.94,1.21
0.88,2.88,1.26
0.92,2.82,1.24
0.94,2.76,1.41
0.95,2.72,1.47
0.94,2.69,1.45
0.91,2.66,1.43
0.94,2.58,1.41
0.96,2.41,1.22
0.93,2.4,1.23
0.89,2.37,1.25
0.87,2.35,1.25
0.89,2.32,1.35
0.9,2.31,1.38
0.92,2.27,1.48
0.91,2.25,1.47
0.89,2.22,1.44
0.91,2.18,1.5
0.95,2.12,1.56
0.88,2.11,1.5
0.84,2.1,1.49
0.85,2.07,1.43
0.85,2.05,1.4
0.83,2.03,1.39
0.71,2.08,1.4
0.71,2.07,1.41
0.63,2.09,1.52
0.61,2.06,1.51
0.76,1.91,1.45
0.79,1.89,1.54
0.88,1.85,1.48
0.9,1.82,1.45
0.95,1.76,1.34
1.01,1.7,1.2
1.02,1.63,1.17
1.03,1.6,1.34
1.01,1.56,1.34
1.02,1.53,1.35
1.03,1.52,1.41
1.06,1.5,1.41
1.1,1.48,1.46
1.13,1.49,1.48
1.17,1.51,1.52
1.21,1.49,1.47
1.24,1.48,1.45
1.28,1.5,1.44
1.34,1.5,1.52
1.4,1.48,1.48
1.46,1.49,1.47
1.53,1.51,1.44
1.56,1.51,1.42
1.61,1.52,1.43
1.68,1.52,1.45
1.71,1.52,1.44
1.81,1.61,1.49
1.86,1.62,1.49
1.94,1.61,1.44
2,1.61,1.43
2.04,1.61,1.43
2.05,1.59,1.4
2.15,1.61,1.4
2.23,1.61,1.4
2.31,1.62,1.44
2.38,1.61,1.43
2.48,1.63,1.44
2.58,1.69,1.51
2.67,1.74,1.47
2.74,1.72,1.41
2.73,1.69,1.37
2.75,1.7,1.4
2.81,1.74,1.43
2.84,1.74,1.36
2.79,1.79,1.34
2.81,1.77,1.33
2.85,1.77,1.44
2.87,1.76,1.48
2.91,1.76,1.49
2.95,1.75,1.44
2.96,1.71,1.45
2.98,1.69,1.48
3.03,1.69,1.44
3.04,1.69,1.52
3.06,1.67,1.52
3.11,1.66,1.5
3.11,1.65,1.49
3.12,1.63,1.46
3.14,1.62,1.44
3.14,1.63,1.42
3.15,1.64,1.44
3.15,1.64,1.43
3.16,1.65,1.42
3.17,1.68,1.42
3.18,1.72,1.38
3.18,1.78,1.42
3.18,1.86,1.44
3.2,1.92,1.43
3.26,2.04,1.46
3.25,2.11,1.47
3.25,2.18,1.5
3.27,2.26,1.43
3.26,2.31,1.41
3.29,2.41,1.41
3.29,2.48,1.47
3.25,2.53,1.46
3.23,2.58,1.41
3.24,2.64,1.41
3.21,2.72,1.38
3.22,2.8,1.37
3.12,2.85,1.32
3.18,2.96,1.37
3.23,3.01,1.28
3.22,3.07,1.26
3.23,3.16,1.3
3.21,3.23,1.27
3.13,3.24,1.39
3.1,3.27,1.37
3.16,3.31,1.37
3.11,3.33,1.39
3.12,3.39,1.3
3.09,3.44,1.29
3.12,3.48,1.27
3.13,3.53,1.22
3.16,3.57,1.2
3.14,3.61,1.21
3.12,3.64,1.2
3.07,3.67,1.33
3.02,3.71,1.3
2.99,3.83,1.23
3.03,3.87,1.3
3.04,4.01,1.17
2.99,3.99,1.14
3.03,4.03,1.2
3.04,4.09,1.23
3.07,4.13,1.4
3.05,4.18,1.37
3.04,4.19,1.3
3.02,4.21,1.24
3.02,4.23,1.21
3.06,4.29,1.22
3.06,4.33,1.17
3.07,4.36,1.12
3.06,4.4,1.08
3.1,4.48,1.19
3.13,4.55,1.24
3.14,4.62,1.27
3.12,4.65,1.34
3.12,4.7,1.41
3.12,4.75,1.41
3.12,4.81,1.38
3.11,4.84,1.54
3.17,4.83,1.49
3.2,4.82,1.45
3.26,4.81,1.41
3.18,4.86,1.39
3.25,4.82,1.42
3.17,4.87,1.43
3.16,4.85,1.4
3.13,4.86,1.41
3.09,4.84,1.39
3.06,4.85,1.41
3,4.84,1.41
2.94,4.83,1.36
2.86,4.83,1.5
2.81,4.83,1.45
2.77,4.82,1.39
2.71,4.78,1.47
2.67,4.78,1.44
2.6,4.78,1.38
2.54,4.78,1.39
2.48,4.8,1.36
2.43,4.81,1.33
2.39,4.79,1.35
2.24,4.71,1.32
2.19,4.7,1.32
1.88,4.53,1.47
1.89,4.59,1.56
1.9,4.61,1.52
1.88,4.62,1.53
1.9,4.65,1.48
1.9,4.65,1.46
1.88,4.66,1.44
1.82,4.7,1.44
1.8,4.73,1.49
1.73,4.76,1.39
1.4,4.61,1.36
1.5,4.53,1
1.26,4.46,1.06
0.95,4.34,1.23
0.9,4.35,1.27
1.05,4.49,1.33
0.96,4.59,1.22
0.9,4.67,1.14
0.9,4.68,1.34
0.78,4.64,1.33
0.71,4.63,1.34
0.69,4.61,1.47
0.75,4.68,1.43
0.77,4.69,1.42
0.61,4.63,1.41
0.63,4.66,1.37
0.59,4.66,1.35
0.58,4.68,1.39
0.69,4.76,1.37
0.75,4.81,1.39
0.71,4.79,1.44
0.65,4.75,1.42
0.64,4.72,1.41
0.73,4.72,1.43
0.71,4.65,1.4
0.42,4.49,1.44
0.55,4.49,1.45
0.57,4.41,1.4
0.61,4.38,1.39
0.7,4.36,1.47
0.83,4.32,1.33
0.86,4.28,1.36
0.84,4.21,1.39
0.88,4.15,1.54
0.91,4.1,1.53
0.92,4.03,1.52
1.03,3.89,1.39
1.1,3.82,1.39
1.01,3.77,1.29
1.06,3.72,1.33
0.76,3.54,1.46
0.76,3.5,1.39
0.75,3.45,1.43
0.84,3.38,1.25
0.93,3.33,1.26
0.99,3.31,1.28
0.95,3.22,1.3
0.99,3.21,1.32
1,3.18,1.33
1.01,3.17,1.38
0.99,3.13,1.35
0.97,3.11,1.36
0.89,3.12,1.35
0.97,3.06,1.38
0.98,2.97,1.36
1.04,2.91,1.34
1.01,2.85,1.4
0.9,2.71,1.27
0.9,2.68,1.3
0.77,2.65,1.25
0.84,2.63,1.23
0.91,2.59,1.23
0.92,2.53,1.31
0.94,2.47,1.41
0.95,2.45,1.49
0.93,2.4,1.45
0.93,2.37,1.4
0.92,2.33,1.41
0.92,2.29,1.42
0.88,2.25,1.42
0.85,2.22,1.45
0.86,2.15,1.4
0.85,2.07,1.42
0.83,1.98,1.38
0.72,1.9,1.35
0.69,1.95,1.47
0.68,1.93,1.44
0.67,1.92,1.44
0.68,1.89,1.46
0.67,1.84,1.45
0.7,1.79,1.5
0.66,1.77,1.45
0.52,1.82,1.46
0.6,1.74,1.43
0.65,1.72,1.4
0.73,1.68,1.41
0.84,1.63,1.48
0.86,1.62,1.46
0.88,1.59,1.51
0.91,1.57,1.54
0.9,1.51,1.46
0.96,1.5,1.58
1.01,1.52,1.66
1.06,1.54,1.55
1.13,1.56,1.59
1.2,1.57,1.52
1.3,1.61,1.57
1.36,1.64,1.52
1.42,1.67,1.53
1.46,1.7,1.53
1.51,1.72,1.45
1.54,1.72,1.53
1.56,1.72,1.48
1.6,1.72,1.52
1.65,1.73,1.55
1.69,1.74,1.58
1.74,1.73,1.56
1.9,1.71,1.4
1.93,1.69,1.41
1.94,1.66,1.45
1.99,1.67,1.41
2.03,1.65,1.44
2.04,1.63,1.4
2.08,1.62,1.49
2.12,1.63,1.51
2.16,1.62,1.49
2.16,1.6,1.48
2.18,1.58,1.55
2.41,1.7,1.58
2.5,1.74,1.57
2.55,1.73,1.58
2.67,1.74,1.46
2.71,1.72,1.44
2.77,1.73,1.4
2.8,1.72,1.41
3,1.82,1.44
2.99,1.79,1.41
3.02,1.79,1.42
3.05,1.79,1.45
3.03,1.77,1.46
3.07,1.76,1.41
2.87,1.6,1.45
2.78,1.53,1.41
2.69,1.47,1.37
2.85,1.56,1.37
2.85,1.57,1.43
2.88,1.57,1.47
2.91,1.58,1.57
3.04,1.63,1.53
3.19,1.69,1.56
3.26,1.71,1.51
3.18,1.67,1.51
3.2,1.68,1.45
3.23,1.7,1.44
3.18,1.79,1.44
3.12,1.78,1.24
3,1.8,1.11
3.13,1.94,1.26
3.03,1.96,1.15
3,1.99,1.07
2.98,2.02,1.03
2.92,2.06,0.94
2.86,2.11,0.86
2.84,2.1,0.83
2.86,2.12,0.81
3.04,2.17,0.68
2.99,2.21,0.68
2.96,2.31,0.84
2.95,2.4,0.98
2.94,2.48,1.1
2.93,2.55,1.24
2.94,2.61,1.27
2.95,2.67,1.34
2.85,2.78,1.35
2.88,2.82,1.34
2.92,2.86,1.32
2.91,2.91,1.4
2.9,2.94,1.45
2.89,2.96,1.38
2.87,3.01,1.32
2.84,3.04,1.27
2.81,3.08,1.28
2.85,3.18,1.25
2.82,3.34,1.06
2.82,3.37,1.15
2.83,3.41,1.15
2.85,3.44,1.2
2.91,3.48,1.19
3.02,3.45,1.19
3.11,3.44,1.19
3.36,3.48,1.29
3.34,3.55,1.33
3.25,3.7,1.33
3.18,3.98,1.23
3.12,4.16,1.12
3.26,4.21,1.04
3.31,4.19,1.09
3.34,4.18,1.17
3.37,4.18,1.33
3.29,4.36,1.19
3.29,4.38,1.25
3.32,4.51,1.17
3.33,4.53,1.23
3.33,4.57,1.24
3.34,4.61,1.25
3.33,4.65,1.31
3.34,4.74,1.23
3.42,4.68,1.28
3.43,4.68,1.31
3.39,4.76,1.25
3.45,4.72,1.36
3.47,4.79,1.28
3.43,4.76,1.35
3.49,4.7,1.39
3.42,4.69,1.43
3.37,4.66,1.44
3.31,4.66,1.51
3.25,4.68,1.6
3.17,4.7,1.52
3.09,4.72,1.49
3,4.75,1.52
2.94,4.8,1.49
2.86,4.83,1.52
2.78,4.84,1.52
2.71,4.83,1.53
2.71,4.87,1.46
2.65,4.88,1.44
2.57,4.86,1.4
2.53,4.87,1.37
2.47,4.84,1.41
2.4,4.82,1.38
2.36,4.78,1.44
2.29,4.74,1.53
2.23,4.71,1.49
2.19,4.71,1.5
2.13,4.7,1.58
2.08,4.69,1.65
2.05,4.73,1.56
2.01,4.74,1.51
1.97,4.75,1.54
1.93,4.78,1.48
1.86,4.75,1.54
1.81,4.72,1.51
1.79,4.73,1.55
1.75,4.71,1.5
1.72,4.71,1.5
1.69,4.75,1.43
1.65,4.82,1.33
1.61,4.82,1.32
1.57,4.85,1.33
1.5,4.82,1.33
1.43,4.79,1.35
1.38,4.75,1.41
1.36,4.73,1.49
1.17,4.63,1.49
1.08,4.61,1.43
1,4.59,1.4
0.97,4.6,1.38
0.85,4.55,1.46
0.8,4.56,1.5
0.75,4.59,1.58
0.75,4.6,1.61
0.68,4.59,1.59
0.62,4.56,1.62
0.72,4.63,1.57
0.77,4.69,1.51
0.46,4.55,1.57
0.56,4.58,1.63
0.69,4.6,1.63
0.76,4.59,1.68
0.59,4.44,1.66
0.65,4.46,1.55
0.6,4.44,1.41
0.77,4.42,1.41
0.78,4.36,1.42
0.83,4.29,1.42
0.96,4.22,1.36
1.03,4.09,1.16
0.95,4.02,1.19
0.84,3.95,1.23
0.87,3.89,1.24
0.9,3.85,1.24
0.95,3.81,1.25
0.98,3.77,1.25
0.9,3.8,1.24
0.94,3.74,1.32
0.89,3.73,1.29
